Tail	Head	Distribution	Parameters
1	547	lognorm	(0.8122839515373603, -0.06503778235208196, 3.652872813886113)
2	548	lognorm	(0.8349260475979221, -0.013662003868176283, 3.51618925034999)
3	549	lognorm	(0.8620029840183688, -0.002973633276441588, 3.584815595856126)
4	550	lognorm	(0.8204668892627245, -0.05901092370268173, 3.716139472459633)
5	551	lognorm	(0.8398732601565941, 0.0631305348920774, 3.760163562614947)
6	552	lognorm	(0.840064129818743, 0.07123563081836408, 3.364614533536656)
7	553	lognorm	(0.8054697714830845, -0.058684553537108664, 3.6576712577670625)
8	554	lognorm	(0.8680085113529707, 0.0664371670324071, 3.501133307317736)
9	555	lognorm	(0.8653945966436589, 0.04730637888480399, 3.4962254274799287)
10	556	lognorm	(0.8330273409743225, -0.03496226471984113, 3.66885739226734)
11	557	lognorm	(0.834052522558552, 0.052753523136505706, 3.409313138406765)
12	558	lognorm	(0.8338351534031225, 0.0524280812617, 3.5400807222580277)
13	559	lognorm	(0.8732586184752926, 0.12553451880058925, 3.367710771349528)
14	560	lognorm	(0.8263848013352764, 0.04980552309961207, 3.4051292617957856)
15	561	lognorm	(0.8547735635600215, 0.02753702163948312, 3.470100168734569)
16	562	lognorm	(0.8553939078253441, 0.08649751463243434, 3.514818057430686)
17	563	lognorm	(0.8320484934803716, 0.02267737450511638, 3.4298856623302596)
18	564	lognorm	(0.793109497648159, -0.08917729778546998, 3.660684216882731)
19	565	lognorm	(0.7981781660775453, -0.060032166018994124, 3.637377050271224)
20	566	lognorm	(0.8481720459629998, -0.023591337881755943, 3.4102789718500386)
21	567	lognorm	(0.8416847029517622, 0.012996698269034497, 3.573462239818717)
22	568	lognorm	(0.80284705423073, -0.016765426220094044, 3.5364715234190425)
23	569	lognorm	(0.8142074559131727, -0.012943035166758522, 3.7849399926620846)
24	570	lognorm	(0.8407640386939769, -0.028364920940812843, 3.6050538038154363)
25	571	lognorm	(0.8295400230825565, -0.054315193472914844, 3.709353644627356)
26	572	lognorm	(0.8242165831138628, 0.06884410744468641, 3.4167269795194084)
27	573	lognorm	(0.8578910439883349, 0.08265230068010804, 3.5047142392734596)
