Tail	Head	Cost	E[Time]	Fft	Sigma(Time)
1	547	145	67	62.11224	5
2	548	145	67	62.11224	5
3	549	145	67	62.11224	5
4	550	145	67	62.11224	5
5	551	145	67	62.11224	5
6	552	145	67	62.11224	5
7	553	145	67	62.11224	5
8	554	145	67	62.11224	5
9	555	145	67	62.11224	5
10	556	145	67	62.11224	5
11	557	145	67	62.11224	5
12	558	145	67	62.11224	5
13	559	145	67	62.11224	5
14	560	145	67	62.11224	5
15	561	145	67	62.11224	5
16	562	145	67	62.11224	5
17	563	145	67	62.11224	5
18	564	145	67	62.11224	5
19	565	145	67	62.11224	5
20	566	145	67	62.11224	5
21	567	145	67	62.11224	5
22	568	145	67	62.11224	5
23	569	145	67	62.11224	5
24	570	145	67	62.11224	5
25	571	145	67	62.11224	5
26	572	145	67	62.11224	5
27	573	145	67	62.11224	5
28	574	145	67	62.11224	5
29	575	145	67	62.11224	5
30	576	145	67	62.11224	5
31	577	145	67	62.11224	5
32	578	145	67	62.11224	5
33	579	145	67	62.11224	5
34	580	145	67	62.11224	5
35	581	145	67	62.11224	5
36	582	145	67	62.11224	5
37	583	145	67	62.11224	5
38	584	145	67	62.11224	5
39	585	145	67	62.11224	5
40	586	145	67	62.11224	5
41	587	145	67	62.11224	5
42	588	145	67	62.11224	5
43	589	145	67	62.11224	5
44	590	145	67	62.11224	5
45	591	145	67	62.11224	5
46	592	145	67	62.11224	5
47	593	145	67	62.11224	5
48	594	145	67	62.11224	5
49	595	145	67	62.11224	5
50	596	145	67	62.11224	5
51	597	145	67	62.11224	5
52	598	145	67	62.11224	5
53	599	145	67	62.11224	5
54	600	145	67	62.11224	5
55	601	145	67	62.11224	5
56	602	145	67	62.11224	5
57	603	145	67	62.11224	5
58	604	145	67	62.11224	5
59	605	145	67	62.11224	5
60	606	145	67	62.11224	5
61	607	145	67	62.11224	5
62	608	145	67	62.11224	5
63	609	145	67	62.11224	5
64	610	145	67	62.11224	5
65	611	145	67	62.11224	5
66	612	145	67	62.11224	5
67	613	145	67	62.11224	5
68	614	145	67	62.11224	5
69	615	145	67	62.11224	5
70	616	145	67	62.11224	5
71	617	145	67	62.11224	5
72	618	145	67	62.11224	5
73	619	145	67	62.11224	5
74	620	145	67	62.11224	5
75	621	145	67	62.11224	5
76	622	145	67	62.11224	5
77	623	145	67	62.11224	5
78	624	145	67	62.11224	5
79	625	145	67	62.11224	5
80	626	145	67	62.11224	5
81	627	145	67	62.11224	5
82	628	145	67	62.11224	5
83	629	145	67	62.11224	5
84	630	145	67	62.11224	5
85	631	145	67	62.11224	5
86	632	145	67	62.11224	5
87	633	145	67	62.11224	5
88	634	145	67	62.11224	5
89	635	145	67	62.11224	5
90	636	145	67	62.11224	5
91	637	145	67	62.11224	5
92	638	145	67	62.11224	5
93	639	145	67	62.11224	5
94	640	145	67	62.11224	5
95	641	145	67	62.11224	5
96	642	145	67	62.11224	5
97	643	145	67	62.11224	5
98	644	145	67	62.11224	5
99	645	145	67	62.11224	5
100	646	145	67	62.11224	5
101	647	145	67	62.11224	5
102	648	145	67	62.11224	5
103	649	145	67	62.11224	5
104	650	145	67	62.11224	5
105	651	145	67	62.11224	5
106	652	145	67	62.11224	5
107	653	145	67	62.11224	5
108	654	145	67	62.11224	5
109	655	145	67	62.11224	5
110	656	145	67	62.11224	5
111	657	145	67	62.11224	5
112	658	145	67	62.11224	5
113	659	145	67	62.11224	5
114	660	145	67	62.11224	5
115	661	145	67	62.11224	5
116	662	145	67	62.11224	5
117	663	145	67	62.11224	5
118	664	145	67	62.11224	5
119	665	145	67	62.11224	5
120	666	145	67	62.11224	5
121	667	145	67	62.11224	5
122	668	145	67	62.11224	5
123	669	145	67	62.11224	5
124	670	145	67	62.11224	5
125	671	145	67	62.11224	5
126	672	145	67	62.11224	5
127	673	145	67	62.11224	5
128	674	145	67	62.11224	5
129	675	145	67	62.11224	5
130	676	145	67	62.11224	5
131	677	145	67	62.11224	5
132	678	145	67	62.11224	5
133	679	145	67	62.11224	5
134	680	145	67	62.11224	5
135	681	145	67	62.11224	5
136	682	145	67	62.11224	5
137	683	145	67	62.11224	5
138	684	145	67	62.11224	5
139	685	145	67	62.11224	5
140	686	145	67	62.11224	5
141	687	145	67	62.11224	5
142	688	145	67	62.11224	5
143	689	145	67	62.11224	5
144	690	145	67	62.11224	5
145	691	145	67	62.11224	5
146	692	145	67	62.11224	5
147	693	145	67	62.11224	5
148	694	145	67	62.11224	5
149	695	145	67	62.11224	5
150	696	145	67	62.11224	5
151	697	145	67	62.11224	5
152	698	145	67	62.11224	5
153	699	145	67	62.11224	5
154	700	145	67	62.11224	5
155	701	145	67	62.11224	5
156	702	145	67	62.11224	5
157	703	145	67	62.11224	5
158	704	145	67	62.11224	5
159	705	145	67	62.11224	5
160	706	145	67	62.11224	5
161	707	145	67	62.11224	5
162	708	145	67	62.11224	5
163	709	145	67	62.11224	5
164	710	145	67	62.11224	5
165	711	145	67	62.11224	5
166	712	145	67	62.11224	5
167	713	145	67	62.11224	5
168	714	145	67	62.11224	5
169	715	145	67	62.11224	5
170	716	145	67	62.11224	5
171	717	145	67	62.11224	5
172	718	145	67	62.11224	5
173	719	145	67	62.11224	5
174	720	145	67	62.11224	5
175	721	145	67	62.11224	5
176	722	145	67	62.11224	5
177	723	145	67	62.11224	5
178	724	145	67	62.11224	5
179	725	145	67	62.11224	5
180	726	145	67	62.11224	5
181	727	145	67	62.11224	5
182	728	145	67	62.11224	5
183	729	145	67	62.11224	5
184	730	145	67	62.11224	5
185	731	145	67	62.11224	5
186	732	145	67	62.11224	5
187	733	145	67	62.11224	5
188	734	145	67	62.11224	5
189	735	145	67	62.11224	5
190	736	145	67	62.11224	5
191	737	145	67	62.11224	5
192	738	145	67	62.11224	5
193	739	145	67	62.11224	5
194	740	145	67	62.11224	5
195	741	145	67	62.11224	5
196	742	145	67	62.11224	5
197	743	145	67	62.11224	5
198	744	145	67	62.11224	5
199	745	145	67	62.11224	5
200	746	145	67	62.11224	5
201	747	145	67	62.11224	5
202	748	145	67	62.11224	5
203	749	145	67	62.11224	5
204	750	145	67	62.11224	5
205	751	145	67	62.11224	5
206	752	145	67	62.11224	5
207	753	145	67	62.11224	5
208	754	145	67	62.11224	5
209	755	145	67	62.11224	5
210	756	145	67	62.11224	5
211	757	145	67	62.11224	5
212	758	145	67	62.11224	5
213	759	145	67	62.11224	5
214	760	145	67	62.11224	5
215	761	145	67	62.11224	5
216	762	145	67	62.11224	5
217	763	145	67	62.11224	5
218	764	145	67	62.11224	5
219	765	145	67	62.11224	5
220	766	145	67	62.11224	5
221	767	145	67	62.11224	5
222	768	145	67	62.11224	5
223	769	145	67	62.11224	5
224	770	145	67	62.11224	5
225	771	145	67	62.11224	5
226	772	145	67	62.11224	5
227	773	145	67	62.11224	5
228	774	145	67	62.11224	5
229	775	145	67	62.11224	5
230	776	145	67	62.11224	5
231	777	145	67	62.11224	5
232	778	145	67	62.11224	5
233	779	145	67	62.11224	5
234	780	145	67	62.11224	5
235	781	145	67	62.11224	5
236	782	145	67	62.11224	5
237	783	145	67	62.11224	5
238	784	145	67	62.11224	5
239	785	145	67	62.11224	5
240	786	145	67	62.11224	5
241	787	145	67	62.11224	5
242	788	145	67	62.11224	5
243	789	145	67	62.11224	5
244	790	145	67	62.11224	5
245	791	145	67	62.11224	5
246	792	145	67	62.11224	5
247	793	145	67	62.11224	5
248	794	145	67	62.11224	5
249	795	145	67	62.11224	5
250	796	145	67	62.11224	5
251	797	145	67	62.11224	5
252	798	145	67	62.11224	5
253	799	145	67	62.11224	5
254	800	145	67	62.11224	5
255	801	145	67	62.11224	5
256	802	145	67	62.11224	5
257	803	145	67	62.11224	5
258	804	145	67	62.11224	5
259	805	145	67	62.11224	5
260	806	145	67	62.11224	5
261	807	145	67	62.11224	5
262	808	145	67	62.11224	5
263	809	145	67	62.11224	5
264	810	145	67	62.11224	5
265	811	145	67	62.11224	5
266	812	145	67	62.11224	5
267	813	145	67	62.11224	5
268	814	145	67	62.11224	5
269	815	145	67	62.11224	5
270	816	145	67	62.11224	5
271	817	145	67	62.11224	5
272	818	145	67	62.11224	5
273	819	145	67	62.11224	5
274	820	145	67	62.11224	5
275	821	145	67	62.11224	5
276	822	145	67	62.11224	5
277	823	145	67	62.11224	5
278	824	145	67	62.11224	5
279	825	145	67	62.11224	5
280	826	145	67	62.11224	5
281	827	145	67	62.11224	5
282	828	145	67	62.11224	5
283	829	145	67	62.11224	5
284	830	145	67	62.11224	5
285	831	145	67	62.11224	5
286	832	145	67	62.11224	5
287	833	145	67	62.11224	5
288	834	145	67	62.11224	5
289	835	145	67	62.11224	5
290	836	145	67	62.11224	5
291	837	145	67	62.11224	5
292	838	145	67	62.11224	5
293	839	145	67	62.11224	5
294	840	145	67	62.11224	5
295	841	145	67	62.11224	5
296	842	145	67	62.11224	5
297	843	145	67	62.11224	5
298	844	145	67	62.11224	5
299	845	145	67	62.11224	5
300	846	145	67	62.11224	5
301	847	145	67	62.11224	5
302	848	145	67	62.11224	5
303	849	145	67	62.11224	5
304	850	145	67	62.11224	5
305	851	145	67	62.11224	5
306	852	145	67	62.11224	5
307	853	145	67	62.11224	5
308	854	145	67	62.11224	5
309	855	145	67	62.11224	5
310	856	145	67	62.11224	5
311	857	145	67	62.11224	5
312	858	145	67	62.11224	5
313	859	145	67	62.11224	5
314	860	145	67	62.11224	5
315	861	145	67	62.11224	5
316	862	145	67	62.11224	5
317	863	145	67	62.11224	5
318	864	145	67	62.11224	5
319	865	145	67	62.11224	5
320	866	145	67	62.11224	5
321	867	145	67	62.11224	5
322	868	145	67	62.11224	5
323	869	145	67	62.11224	5
324	870	145	67	62.11224	5
325	871	145	67	62.11224	5
326	872	145	67	62.11224	5
327	873	145	67	62.11224	5
328	874	145	67	62.11224	5
329	875	145	67	62.11224	5
330	876	145	67	62.11224	5
331	877	145	67	62.11224	5
332	878	145	67	62.11224	5
333	879	145	67	62.11224	5
334	880	145	67	62.11224	5
335	881	145	67	62.11224	5
336	882	145	67	62.11224	5
337	883	145	67	62.11224	5
338	884	145	67	62.11224	5
339	885	145	67	62.11224	5
340	886	145	67	62.11224	5
341	887	145	67	62.11224	5
342	888	145	67	62.11224	5
343	889	145	67	62.11224	5
344	890	145	67	62.11224	5
345	891	145	67	62.11224	5
346	892	145	67	62.11224	5
347	893	145	67	62.11224	5
348	894	145	67	62.11224	5
349	895	145	67	62.11224	5
350	896	145	67	62.11224	5
351	897	145	67	62.11224	5
352	898	145	67	62.11224	5
353	899	145	67	62.11224	5
354	900	145	67	62.11224	5
355	901	145	67	62.11224	5
356	902	145	67	62.11224	5
357	903	145	67	62.11224	5
358	904	145	67	62.11224	5
359	905	145	67	62.11224	5
360	906	145	67	62.11224	5
361	907	145	67	62.11224	5
362	908	145	67	62.11224	5
363	909	145	67	62.11224	5
364	910	145	67	62.11224	5
365	911	145	67	62.11224	5
366	912	145	67	62.11224	5
367	913	145	67	62.11224	5
368	914	145	67	62.11224	5
369	915	145	67	62.11224	5
370	916	145	67	62.11224	5
371	917	145	67	62.11224	5
372	918	145	67	62.11224	5
373	919	145	67	62.11224	5
374	920	145	67	62.11224	5
375	921	145	67	62.11224	5
376	922	145	67	62.11224	5
377	923	145	67	62.11224	5
378	924	145	67	62.11224	5
379	925	145	67	62.11224	5
380	926	145	67	62.11224	5
381	927	145	67	62.11224	5
382	928	145	67	62.11224	5
383	929	145	67	62.11224	5
384	930	145	67	62.11224	5
385	931	145	67	62.11224	5
386	932	145	67	62.11224	5
387	933	145	67	62.11224	5
388	390	2035	673	665.4	5
388	391	1074	369	358.8	5
388	708	306	179	174.0	5
388	802	748	291	286.8	5
389	390	794	265	260.4	5
389	801	1269	579	574.8	5
389	914	558	242	237.6	5
390	388	2035	673	665.4	5
390	389	794	265	260.4	5
390	925	1193	422	415.79999999999995	5
391	388	1074	366	358.8	5
391	392	770	276	253.2	5
391	709	214	36	31.8	5
391	715	797	386	381.6	5
392	391	770	261	253.2	5
392	393	456	198	153.0	10
392	713	283	85	63.0	5
392	717	271	188	178.8	5
393	392	456	168	153.0	5
393	394	525	251	205.2	10
393	712	457	167	157.20000000000002	5
393	716	103	126	112.2	5
394	393	525	215	205.2	5
394	395	381	168	145.2	5
394	584	806	372	298.2	16
394	601	95	159	105.0	14
395	394	381	152	145.2	5
395	396	567	276	219.0	12
395	584	654	238	232.79999999999998	5
395	600	140	88	81.60000000000001	5
396	395	567	226	219.0	5
396	397	330	161	126.6	7
397	396	330	132	126.6	5
397	398	367	233	141.6	26
397	588	422	189	181.2	5
397	604	186	112	76.8	9
398	397	367	165	141.6	5
398	399	106	73	43.199999999999996	8
398	400	330	132	126.6	5
398	403	474	207	183.6	5
399	398	106	51	43.199999999999996	5
399	537	664	354	256.8	24
399	604	287	207	199.2	5
399	609	230	70	52.8	5
400	398	330	139	126.6	5
400	401	583	251	245.39999999999998	5
400	587	170	333	52.8	136
400	609	423	408	403.2	5
401	400	583	266	245.39999999999998	5
401	402	253	106	101.39999999999999	5
401	585	169	111	102.0	5
401	590	375	138	108.60000000000001	6
402	401	253	106	101.39999999999999	5
403	398	474	196	183.6	5
403	404	507	253	195.6	13
403	606	203	211	170.39999999999998	8
403	611	325	191	124.19999999999999	18
404	403	507	226	195.6	6
404	405	154	149	63.0	29
404	675	260	193	188.4	5
404	680	272	112	76.2	9
405	404	154	123	63.0	18
405	406	369	157	151.79999999999998	5
